Component Pins:
Owner   Type  Dir         Value  Name
    30  float OUT             0  axis.a.eoffset
    30  bit   IN          FALSE  axis.a.eoffset-clear
    30  s32   IN              0  axis.a.eoffset-counts
    30  bit   IN          FALSE  axis.a.eoffset-enable
    30  float OUT             0  axis.a.eoffset-request
    30  float IN              0  axis.a.eoffset-scale
    30  float IN              1  axis.a.jog-accel-fraction
    30  s32   IN              0  axis.a.jog-counts
    30  bit   IN          FALSE  axis.a.jog-enable
    30  float IN              0  axis.a.jog-scale
    30  bit   IN          FALSE  axis.a.jog-vel-mode
    30  bit   OUT         FALSE  axis.a.kb-jog-active
    30  float OUT          -180  axis.a.pos-cmd
    30  float OUT             0  axis.a.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.a.teleop-tp-enable
    30  float OUT             0  axis.a.teleop-vel-cmd
    30  float OUT             0  axis.a.teleop-vel-lim
    30  bit   OUT         FALSE  axis.a.wheel-jog-active
    30  float OUT             0  axis.b.eoffset
    30  bit   IN          FALSE  axis.b.eoffset-clear
    30  s32   IN              0  axis.b.eoffset-counts
    30  bit   IN          FALSE  axis.b.eoffset-enable
    30  float OUT             0  axis.b.eoffset-request
    30  float IN              0  axis.b.eoffset-scale
    30  float IN              1  axis.b.jog-accel-fraction
    30  s32   IN              0  axis.b.jog-counts
    30  bit   IN          FALSE  axis.b.jog-enable
    30  float IN              0  axis.b.jog-scale
    30  bit   IN          FALSE  axis.b.jog-vel-mode
    30  bit   OUT         FALSE  axis.b.kb-jog-active
    30  float OUT             0  axis.b.pos-cmd
    30  float OUT             0  axis.b.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.b.teleop-tp-enable
    30  float OUT             0  axis.b.teleop-vel-cmd
    30  float OUT             0  axis.b.teleop-vel-lim
    30  bit   OUT         FALSE  axis.b.wheel-jog-active
    30  float OUT             0  axis.c.eoffset
    30  bit   IN          FALSE  axis.c.eoffset-clear
    30  s32   IN              0  axis.c.eoffset-counts
    30  bit   IN          FALSE  axis.c.eoffset-enable
    30  float OUT             0  axis.c.eoffset-request
    30  float IN              0  axis.c.eoffset-scale
    30  float IN              1  axis.c.jog-accel-fraction
    30  s32   IN              0  axis.c.jog-counts
    30  bit   IN          FALSE  axis.c.jog-enable
    30  float IN              0  axis.c.jog-scale
    30  bit   IN          FALSE  axis.c.jog-vel-mode
    30  bit   OUT         FALSE  axis.c.kb-jog-active
    30  float OUT             0  axis.c.pos-cmd
    30  float OUT             0  axis.c.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.c.teleop-tp-enable
    30  float OUT             0  axis.c.teleop-vel-cmd
    30  float OUT             0  axis.c.teleop-vel-lim
    30  bit   OUT         FALSE  axis.c.wheel-jog-active
    30  float OUT             0  axis.u.eoffset
    30  bit   IN          FALSE  axis.u.eoffset-clear
    30  s32   IN              0  axis.u.eoffset-counts
    30  bit   IN          FALSE  axis.u.eoffset-enable
    30  float OUT             0  axis.u.eoffset-request
    30  float IN              0  axis.u.eoffset-scale
    30  float IN              1  axis.u.jog-accel-fraction
    30  s32   IN              0  axis.u.jog-counts
    30  bit   IN          FALSE  axis.u.jog-enable
    30  float IN              0  axis.u.jog-scale
    30  bit   IN          FALSE  axis.u.jog-vel-mode
    30  bit   OUT         FALSE  axis.u.kb-jog-active
    30  float OUT             0  axis.u.pos-cmd
    30  float OUT             0  axis.u.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.u.teleop-tp-enable
    30  float OUT             0  axis.u.teleop-vel-cmd
    30  float OUT             0  axis.u.teleop-vel-lim
    30  bit   OUT         FALSE  axis.u.wheel-jog-active
    30  float OUT             0  axis.v.eoffset
    30  bit   IN          FALSE  axis.v.eoffset-clear
    30  s32   IN              0  axis.v.eoffset-counts
    30  bit   IN          FALSE  axis.v.eoffset-enable
    30  float OUT             0  axis.v.eoffset-request
    30  float IN              0  axis.v.eoffset-scale
    30  float IN              1  axis.v.jog-accel-fraction
    30  s32   IN              0  axis.v.jog-counts
    30  bit   IN          FALSE  axis.v.jog-enable
    30  float IN              0  axis.v.jog-scale
    30  bit   IN          FALSE  axis.v.jog-vel-mode
    30  bit   OUT         FALSE  axis.v.kb-jog-active
    30  float OUT             0  axis.v.pos-cmd
    30  float OUT             0  axis.v.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.v.teleop-tp-enable
    30  float OUT             0  axis.v.teleop-vel-cmd
    30  float OUT             0  axis.v.teleop-vel-lim
    30  bit   OUT         FALSE  axis.v.wheel-jog-active
    30  float OUT             0  axis.w.eoffset
    30  bit   IN          FALSE  axis.w.eoffset-clear
    30  s32   IN              0  axis.w.eoffset-counts
    30  bit   IN          FALSE  axis.w.eoffset-enable
    30  float OUT             0  axis.w.eoffset-request
    30  float IN              0  axis.w.eoffset-scale
    30  float IN              1  axis.w.jog-accel-fraction
    30  s32   IN              0  axis.w.jog-counts
    30  bit   IN          FALSE  axis.w.jog-enable
    30  float IN              0  axis.w.jog-scale
    30  bit   IN          FALSE  axis.w.jog-vel-mode
    30  bit   OUT         FALSE  axis.w.kb-jog-active
    30  float OUT             0  axis.w.pos-cmd
    30  float OUT             0  axis.w.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.w.teleop-tp-enable
    30  float OUT             0  axis.w.teleop-vel-cmd
    30  float OUT             0  axis.w.teleop-vel-lim
    30  bit   OUT         FALSE  axis.w.wheel-jog-active
    30  float OUT             0  axis.x.eoffset
    30  bit   IN          FALSE  axis.x.eoffset-clear
    30  s32   IN              0  axis.x.eoffset-counts
    30  bit   IN          FALSE  axis.x.eoffset-enable
    30  float OUT             0  axis.x.eoffset-request
    30  float IN              0  axis.x.eoffset-scale
    30  float IN              1  axis.x.jog-accel-fraction
    30  s32   IN              0  axis.x.jog-counts
    30  bit   IN          FALSE  axis.x.jog-enable
    30  float IN              0  axis.x.jog-scale
    30  bit   IN          FALSE  axis.x.jog-vel-mode
    30  bit   OUT         FALSE  axis.x.kb-jog-active
    30  float OUT           173  axis.x.pos-cmd
    30  float OUT             0  axis.x.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.x.teleop-tp-enable
    30  float OUT             0  axis.x.teleop-vel-cmd
    30  float OUT             0  axis.x.teleop-vel-lim
    30  bit   OUT         FALSE  axis.x.wheel-jog-active
    30  float OUT             0  axis.y.eoffset
